book_id|publisher|title|author|subjects|se_subjects|col_type|series|series_pos|short_desc|long_desc|language|se_word_count|se_reading_ease|source_url|wikipedia_url|pub_year_original|writing_as|work_type|genre|sleuth
giants-bread|Standard Ebooks|Giant’s Bread|Agatha Christie|"Psychological fiction, English|Composers--Fiction"|Fiction||||The genesis of a monumental piece of music is described in the life of its composer.|"
			<p>Vernon Deyre lives with his parents, Nurse, and a selection of imaginary friends including the enigmatic Mr. Green, at the Deyre’s ancestral home of Abbots Puissants. As he grows, his nebulous fears crystallize into more specific forms, most notably in the Beast: a terrifying piano that symbolizes the way music makes him feel.</p>
			<p>His early inability to engage with music stems from the lack of his hearing the <em>right</em> kind of music, as a later experience at a concert makes very clear. This Titanic Concert triggers an epiphany and sets Vernon on a new life path that will sweep his friends along with him, regardless of their own needs.</p>
			<p><a href=""https://standardebooks.org/ebooks/agatha-christie"">Agatha Christie</a>, already famous for her <a href=""https://standardebooks.org/collections/poirot"">Poirot</a> crime stories among others, had determined that a pen name would give her the freedom to pursue other types of literature. <i>Giant’s Bread</i>, originally published in 1930 under the name of Mary Westmacott, was the first of six of these non-crime novels. The press, while stymied over which author had adopted the pen name, were enthusiastic, praising in particular the characterizations.</p>
		"|en-GB|101165|78.45|https://github.com/standardebooks/agatha-christie_giants-bread|https://en.wikipedia.org/wiki/Giant%27s_Bread|1930|Mary Westmacott|novel|Romance|
poirot-investigates|Standard Ebooks|Poirot Investigates|Agatha Christie|"Private investigators -- England -- Fiction|Detective and mystery stories, English|Belgians -- England -- Fiction|Poirot, Hercule (Fictitious character) -- Fiction"|"Mystery|Shorts"|series|Poirot|3|A calculating Belgian detective and his wide-eyed companion investigate and solve a series of mysteries.|"
			<p><i>Poirot Investigates</i> is a classic collection of <a href=""https://standardebooks.org/ebooks/agatha-christie"">Agatha Christie’s</a> short stories first published in 1924. It follows the famous Belgian detective Hercule Poirot and his companion Arthur Hastings as they solve a series of mysteries. From threatening letters to Egyptian curses to missing wills, Poirot’s little grey cells never falter. While Hastings and the reader are lost in the minutiae of the case, Poirot sees it all—and with impeccable attention to detail, finds the culprit.</p>
		"|en-GB|52707|76.72|https://github.com/standardebooks/agatha-christie_poirot-investigates|https://en.wikipedia.org/wiki/Poirot_Investigates|1924|Agatha Christie|collection of short stories|"Murder Mystery|Detective|Thriller|Espionage"|Hercule Poirot
the-big-four|Standard Ebooks|The Big Four|Agatha Christie|"Private investigators -- England -- Fiction|Detective and mystery stories, English|Belgians -- England -- Fiction|Poirot, Hercule (Fictitious character) -- Fiction"|Mystery|series|Poirot|5|A famous detective must use all his little grey cells to stop an immensely powerful and ruthless organization from taking over the world.|"
			<p>“The American Soap King” has offered <a href=""https://standardebooks.org/collections/poirot"">Hercule Poirot</a> a ridiculous amount of money to investigate some dodgy business in South America. But right before he’s due to leave London, Poirot discovers that a man has broken into his apartment. The addled stranger, covered in dust and mud, can do little more than repeat Poirot’s address and draw the number 4 over and over. Could the Big Four, a shadowy and seemingly all-powerful organization, be behind these and other strange events?</p>
			<p>To stay ahead of supercriminals, Poirot needs the loyalty of his friend Captain Hastings almost as much as he needs his little grey cells. Soon they are rushing to country houses, a mysterious laboratory, the site of a deadly chess game, and a mountaintop hideaway in the Alps.</p>
			<p>The year before this book was published, personal turmoil made it impossible for <a href=""https://standardebooks.org/ebooks/agatha-christie"">Agatha Christie</a> to write—but her publisher was anxious for another novel to follow the highly successful <a href=""https://standardebooks.org/ebooks/agatha-christie/the-murder-of-roger-ackroyd""><i>Murder of Roger Ackroyd</i></a>.</p>
			<p>Her brother-in-law helped her turn a twelve-part serial she had written several years before into <i>The Big Four</i>, and it’s this origin as separate stories that helps explain its occasional choppiness. As much a thriller as a mystery novel, the novel has never been considered her finest work by either readers or Christie herself, but it remains a fascinating example of Poirot and Hastings at their most spy-like and adventurous.</p>
		"|en-GB|55818|76.62|https://github.com/standardebooks/agatha-christie_the-big-four|https://en.wikipedia.org/wiki/The_Big_Four_(novel)|1927|Agatha Christie|novel|"Detective|Espionage|Thriller"|Hercule Poirot
the-man-in-the-brown-suit|Standard Ebooks|The Man in the Brown Suit|Agatha Christie|"South Africa -- Fiction|Detective and mystery stories|London (England) -- Fiction|Murder -- Investigation -- Fiction|Women adventurers"|"Adventure|Fiction|Mystery"|series|Colonel Race|1|Anne Beddingfeld travels to South Africa after finding a cryptic note beside the body of a man whose death she witnessed in the London Underground.|"
			<p>After her father’s death, young Anne Beddingfeld moves to London with her meagre inheritance, hopeful and ready to meet adventure. She witnesses a fatal accident at a Tube station and picks up a cryptic note dropped by the anonymous doctor who appeared on the scene. When Anne learns of a murder at the estate that the dead man was on his way to visit, it confirms her suspicion that the man in the brown suit who lost the note was not a real doctor.</p>
			<p>With her clue in hand she gains a commission from the newspaper leading the search for the “man in the brown suit,” and her investigation leads her to take passage on a South Africa–bound ocean liner. On board, she meets a famous socialite, a fake missionary, a possible secret service agent, and the <abbr>M.P.</abbr> at whose estate the second murder occurred. She learns about a secretive criminal mastermind known only as the Colonel and of stolen diamonds connected to it all.</p>
			<p>During the voyage, she evades an attempt on her life, and in South Africa she escapes from a kidnapping and barely survives another attack on her at Victoria Falls. She falls in love, finds the diamonds, and discovers the truth about the two deaths in London that started it all. Finally, she confronts the mysterious criminal mastermind, the Colonel.</p>
			<p>Published in 1924 by the Bodley Head, <i>The Man in the Brown Suit</i> is <a href=""https://standardebooks.org/ebooks/agatha-christie"">Agatha Christie’s</a> fourth novel. Unlike the classic murder mysteries that made her famous, <i>The Man in the Brown Suit</i>, like her second novel <i><a href=""https://standardebooks.org/ebooks/agatha-christie/the-secret-adversary"">The Secret Adversary</a></i>, is an international crime thriller.</p>
		"|en-GB|75682|76.82|https://github.com/standardebooks/agatha-christie_the-man-in-the-brown-suit|https://en.wikipedia.org/wiki/The_Man_in_the_Brown_Suit|1924|Agatha Christie|novel|"Murder Mystery|Thriller"|Colonel Race
the-murder-at-the-vicarage|Standard Ebooks|The Murder at the Vicarage|Agatha Christie|"Marple, Jane (Fictitious character)--Fiction|Women detectives--England--Fiction"|"Fiction|Mystery"|series|Miss Marple|1|A vicar attempts to unravel the mystery of a murder that took place in his study, while his neighbor—an elderly spinster—takes an interest.|"
			<p>Not much happens in the sleepy rural town of St. Mary Mead—but that all changes when Colonel Protheroe, a “pompous old brute,” is murdered while awaiting the Vicar in the vicarage study. The main problem isn’t the paucity of suspects—in this case, there seem to be too many willing to confess to the crime.</p>
			<p>The Vicar, who narrates the story, does his best to unravel the mystery himself, as the police seem not to be making a very good job of it. His investigation soon begins to benefit from the observations of his neighbor, a gossipy old spinster by the name of <a href=""https://standardebooks.org/collections/miss-marple"">Miss Marple</a>.</p>
			<p>This wasn’t Miss Marple’s first fictional appearance: she had played a part in an <a href=""https://standardebooks.org/ebooks/agatha-christie"">Agatha Christie</a> short story three years earlier. Miss Marple went on to become one of Christie’s most enduring and endearing characters, portrayed in many adaptations for television, stage, and film.</p>
		"|en-GB|70129|77.84|https://github.com/standardebooks/agatha-christie_the-murder-at-the-vicarage|https://en.wikipedia.org/wiki/The_Murder_at_the_Vicarage|1930|Agatha Christie|novel|Murder Mystery|Miss Jane Marple
the-murder-of-roger-ackroyd|Standard Ebooks|The Murder of Roger Ackroyd|Agatha Christie|"Private investigators -- England -- Fiction|Detective and mystery stories, English|Belgians -- England -- Fiction|Poirot, Hercule (Fictitious character) -- Fiction"|Mystery|series|Poirot|4|A legendary Belgian detective comes out of retirement to investigate a friend’s murder.|"
			<p>Hercule Poirot has retired to the English village of King’s Abbot, determined to use his little grey cells in the growing of vegetable marrows. But when Roger Ackroyd, a local businessman and former acquaintance of Poirot’s, is murdered, the man’s niece begs Poirot to investigate in order to clear her fiancé. With Hastings having married and moved to Argentina, Poirot enlists the local doctor to be his assistant and scribe, and the two of them sift through clues to try to discern the ones that will lead them to the killer.</p>
			<p><a href=""https://standardebooks.org/ebooks/agatha-christie"">Agatha Christie’s</a> two previous Poirot novels had been generally well-received, but <i>The Murder of Roger Ackroyd</i> made her a household name. Consistently ranked among Christie’s best works, in 2013 it was voted as the best crime novel ever written by the 600-member Crime Writers’ Association of the United Kingdom.</p>
		"|en-GB|70105|77.84|https://github.com/standardebooks/agatha-christie_the-murder-of-roger-ackroyd|https://en.wikipedia.org/wiki/The_Murder_of_Roger_Ackroyd|1926|Agatha Christie|novel|"Murder Mystery|Detective"|Hercule Poirot
the-murder-on-the-links|Standard Ebooks|The Murder on the Links|Agatha Christie|"Poirot, Hercule (Fictitious character)--Fiction|Private investigators--England--Fiction"|"Fiction|Mystery"|series|Poirot|2|A famous Belgian detective and his sidekick are summoned to France to investigate the mysterious murder of a rich businessman.|"
			<p><i>The Murder on the Links</i> is <a href=""https://standardebooks.org/ebooks/agatha-christie"">Agatha Christie’s</a> second <a href=""https://standardebooks.org/collections/poirot"">Poirot</a> novel, featuring the brilliant Belgian detective and his sidekick, Captain Hastings.</p>
			<p>In this characteristic whodunit, Poirot is summoned to a seaside town in northern France by a desperate letter from a rich businessman, who fears that he is being stalked. Poirot arrives to find the businessman already dead, his body lying facedown in an open grave on a golf course, a knife in his back—the victim of a mysterious murder. Over the coming days Poirot clashes wits with an arrogant Parisian detective, Giraud, while Hastings finds himself pining after a beautiful but shadowy American expatriate known to him only as “Cinderella.” Together, Poirot and Hastings unravel the intricate web of mystery and deceit behind the murder.</p>
			<p>Christie based this mystery after a real-life French murder case, and it’s believed that this is the first detective novel to use the phrase “the scene of the crime.”</p>
		"|en-GB|64890|77.33|https://github.com/standardebooks/agatha-christie_the-murder-on-the-links|https://en.wikipedia.org/wiki/The_Murder_on_the_Links|1923|Agatha Christie|novel|"Murder Mystery|Detective"|Hercule Poirot
the-mysterious-affair-at-styles|Standard Ebooks|The Mysterious Affair at Styles|Agatha Christie|"Poirot, Hercule (Fictitious character)--Fiction|Private investigators--England--Fiction"|"Fiction|Mystery"|series|Poirot|1|A fastidious Belgian detective solves the mystery of a murder in an English country manor.|"
			<p><i>The Mysterious Affair at Styles</i> isn’t just <a href=""https://standardebooks.org/ebooks/agatha-christie"">Agatha Christie’s</a> first <a href=""https://standardebooks.org/collections/poirot"">Poirot</a> novel, it was the only Poirot novel in the public domain until 2019. It was written on a bet that Christie couldn’t write a detective novel in which the reader couldn’t deduce the criminal. Her attempt laid the foundation for one of literature’s most famous detectives.</p>
			<p>In this novel we’re introduced to Poirot as he’s settling in to a new life in England. After a woman is murdered at the country estate he’s visiting, he has to use his detective skills to catch the criminal. <i>The Mysterious Affair at Styles</i> sets the stage for the Golden Age of Detective Fiction, and has everything you’d expect from a story rich in those classic detective fiction tropes.</p>
		"|en-GB|56894|77.03|https://github.com/standardebooks/agatha-christie_the-mysterious-affair-at-styles|https://en.wikipedia.org/wiki/The_Mysterious_Affair_at_Styles|1920|Agatha Christie|novel|"Murder Mystery|Detective"|Hercule Poirot
the-mystery-of-the-blue-train|Standard Ebooks|The Mystery of the Blue Train|Agatha Christie|"Private investigators--England--Fiction|Railroad travel--Fiction|Married women--Crimes against--Fiction|Rich people--Crimes against--Fiction|Jewelry theft--Fiction"|"Fiction|Mystery"|series|Poirot|6|A retired detective finds himself at the scene of a murder aboard a French locomotive.|"
			<p><i>The Mystery of the Blue Train</i> revolves around a set of fabulous rubies, said to have been worn by Catherine the Great, now purchased by an American millionaire as a gift to his daughter. When she takes them with her on a luxury train to the Riviera, she is unaware that among her fellow passengers are her unfaithful husband, his not-so-secret mistress, a quiet Englishwoman who believes that nothing exciting ever happens to her—and the famous retired detective Hercule Poirot. And, possibly, a murderer.</p>
			<p>Despite positive critical reception of this entry in the <a href=""https://standardebooks.org/collections/poirot"">Poirot</a> canon, <a href=""https://standardebooks.org/ebooks/agatha-christie"">Christie</a> described this as the least favorite of her own novels. However, this is almost certainly due to the events in her personal life during that time: the death of her mother, followed closely by the discovery of her husband’s affair and his request for divorce. Suffering from what appears to have been a nervous breakdown, Christie famously disappeared for over a week in December 1926, triggering a nationwide search before she was discovered to have checked into a hotel under an assumed name. This novel was written in part during a three-month convalescence following those events.</p>
			<p>The book is dedicated to Christie’s secretary Charlotte Fisher and her pet terrier Peter, calling them “distinguished members of the O.F.D.” The “Order of Faithful Dogs” was Christie’s name for her circle of closest friends.</p>
		"|en-GB|70358|77.23|https://github.com/standardebooks/agatha-christie_the-mystery-of-the-blue-train|https://en.wikipedia.org/wiki/The_Mystery_of_the_Blue_Train|1928|Agatha Christie|novel|"Murder Mystery|Detective"|Hercule Poirot
the-secret-adversary|Standard Ebooks|The Secret Adversary|Agatha Christie|"Private investigators -- England -- Fiction|Detective and mystery stories|Domestic fiction|Married people -- Fiction|Missing persons -- Fiction|Beresford, Tommy (Fictitious character) -- Fiction|Beresford, Tuppence (Fictitious character) -- Fiction"|"Fiction|Mystery"|series|Tommy and Tuppence|1|Tommy and Tuppence try to solve a mystery, only to find themselves embroiled in schemes of murder, millionaires, and diplomats.|"
			<p><i>The Secret Adversary</i>, <a href=""https://standardebooks.org/ebooks/agatha-christie"">Agatha Christie’s</a> second novel, introduces Tommy and Tuppence, the two much-loved mystery-solving adventurers.</p>
			<p>The novel centers around a mysterious young girl, suffering from amnesia, who was present on the sinking of the <i>Lusitania</i>. As Tommy and Tuppence try to unravel the mystery, they find themselves embroiled with mysterious millionaires and the dangerous politics of nation-states.</p>
			<p>Contemporary reviews of <i>The Secret Adversary</i> were positive, and the success of the novel paved the way not just for future Tommy and Tuppence adventures, but for a long, storied career of literary success for Christie.</p>
		"|en-GB|75651|78.14|https://github.com/standardebooks/agatha-christie_the-secret-adversary|https://en.wikipedia.org/wiki/The_Secret_Adversary|1922|Agatha Christie|novel|"Espionage|Thriller"|Tommy and Tuppence
